,entity,CIK,Full_CIK,ticker
2363,"ACTINIUM PHARMACEUTICALS, INC.",1388320,CIK0001388320,ATNM
2364,Elastic N.V.,1707753,CIK0001707753,ESTC
2365,"POINT OF CARE NANO-TECHNOLOGY, INC.",1504239,CIK0001504239,PCNT
2366,"X4 PHARMACEUTICALS, INC",1501697,CIK0001501697,XFOR
2367,CURTISS-WRIGHT CORPORATION,26324,CIK0000026324,CW
2368,"NLIGHT, INC.",1124796,CIK0001124796,LASR
2369,BANCO ITAU CHILE,1276671,CIK0001276671,ITCB
2370,"HOME BANCSHARES, INC.",1331520,CIK0001331520,HOMB
2371,ARCBEST CORPORATION,894405,CIK0000894405,ARCB
2372,"SCIENTIFIC INDUSTRIES, INC.",87802,CIK0000087802,SCND
2373,"ANGIOGENEX, INC.",1085596,CIK0001085596,AGGX
2374,"REFLECT SCIENTIFIC, INC.",1103090,CIK0001103090,RSCF
2375,"GOODNESS GROWTH HOLDINGS, INC.",1771706,CIK0001771706,GDNSF
2376,SPANISH BROADCASTING SYSTEM INC,927720,CIK0000927720,SBSAA
2377,NP Life Sciences Health Industry Group Inc.,1781726,CIK0001781726,GJCU
2378,"Adicet Bio, Inc.",1720580,CIK0001720580,ACET
2379,Chee Corp.,1696898,CIK0001696898,ECRP
2380,ITEM 9 LABS CORP.,1500123,CIK0001500123,INLB
2381,"Sumo Logic, Inc.",1643269,CIK0001643269,SUMO
2382,WIX.COM LTD.,1576789,CIK0001576789,WIX
2383,Biophytis SA,1768946,CIK0001768946,BPTS
2384,Invesco CURRENCYSHARES AUSTRALIAN DOLLAR TRUST,1353614,CIK0001353614,FXA
2385,"PROTAGONIST THERAPEUTICS, INC.",1377121,CIK0001377121,PTGX
2386,,0001261166,CIK0001261166,NRO
2387,Texas Pacific Land Corporation,1811074,CIK0001811074,TPL
2388,"RYDER SYSTEM, INC.",85961,CIK0000085961,R
2389,"TINGO GROUP, INC.",854800,CIK0000854800,MICT
2390,"REYNALDO’S MEXICAN FOOD COMPANY, INC.",0001283789,CIK0001283789,RYNL
2391,"UPAY, Inc.",1677897,CIK0001677897,UPYY
2392,"Simply, Inc.",1274032,CIK0001274032,SIMPQ
2393,"ENANTA PHARMACEUTICALS, INC",1177648,CIK0001177648,ENTA
2394,"GARTNER, INC.",749251,CIK0000749251,IT
2395,LAM RESEARCH CORPORATION,707549,CIK0000707549,LRCX
2396,"RENEWABLE ENERGY GROUP, INC.",1463258,CIK0001463258,REGI
2397,NEWELL BRANDS INC.,814453,CIK0000814453,NWL
2398,Cloopen Group Holding Limited,1804583,CIK0001804583,RAAS
2399,"RHYTHM PHARMACEUTICALS, INC.",1649904,CIK0001649904,RYTM
2400,abrdn Gold ETF Trust,1450923,CIK0001450923,SGOL
2401,nVent Electric plc,1720635,CIK0001720635,NVT
2402,,0001627854,CIK0001627854,DCF
2403,HyreCar Inc.,1713832,CIK0001713832,HYRE
2404,"ANI PHARMACEUTICALS, INC",1023024,CIK0001023024,ANIP
2405,Ultragenyx Pharmaceutical Inc.,1515673,CIK0001515673,RARE
2406,"EMPIRE STATE REALTY OP, L.P.",1553079,CIK0001553079,OGCP
2407,LAS VEGAS SANDS CORP.,1300514,CIK0001300514,LVS
2408,STERICYCLE INC.,861878,CIK0000861878,SRCL
2409,Jaws Juggernaut Acquisition Corp,1842609,CIK0001842609,JUGGW
2410,,0001503290,CIK0001503290,ACP
2411,LSI Industries Inc.,763532,CIK0000763532,LYTS
2412,"NORTH AMERICA FRAC SAND, INC.",1409253,CIK0001409253,NAFS
2413,HORIZON GLOBAL CORP,1637655,CIK0001637655,HZN
2414,,0001679033,CIK0001679033,JPT
2415,"FS Bancorp, Inc.",1530249,CIK0001530249,FSBW
2416,"Medifast, Inc.",910329,CIK0000910329,MED
2417,WISDOMTREE CONTINUOUS COMMODITY INDEX FUND,1379606,CIK0001379606,GCC
2418,"DECISIONPOINT SYSTEMS, Inc.",1505611,CIK0001505611,DPSI
2419,RENTOKIL INITIAL PLC /FI,0000930157,CIK0000930157,RTOKY
2420,Femasys Inc.,1339005,CIK0001339005,FEMY
2421,"DUO WORLD, INC.",1635136,CIK0001635136,DUUO
2422,POLYMET MINING CORP.,866028,CIK0000866028,PLM
2423,"RAADR, INC.",1384365,CIK0001384365,RDAR
2424,HF FOODS GROUP INC.,1680873,CIK0001680873,HFFG
2425,NUTRIBAND INC.,1676047,CIK0001676047,NTRBW
2426,RESERVE PETROLEUM CO,83350,CIK0000083350,RSRV
2427,"Expensify, Inc.",0001476840,CIK0001476840,EXFY
2428,Liberty Latin America Ltd.,1712184,CIK0001712184,LILAB
2429,"LifeStance Health Group, Inc.",1845257,CIK0001845257,LFST
2430,Quanterix Corp,1503274,CIK0001503274,QTRX
2431,"BRK, INC.",1532926,CIK0001532926,MNIZ
2432,BAYFIRST FINANCIAL CORP.,1649739,CIK0001649739,BAFN
2433,Franklin Street Properties Corp.,1031316,CIK0001031316,FSP
2434,GSRX INDUSTRIES INC.,1381240,CIK0001381240,GSRX
2435,Sysco Corporation,96021,CIK0000096021,SYY
2436,"FINDIT, INC.",0001593184,CIK0001593184,FDIT
2437,FIRST FINANCIAL CORPORATION,714562,CIK0000714562,THFF
2438,"HONDA MOTOR CO., LTD.",715153,CIK0000715153,HNDAF
2439,"BIOLARGO, INC.",880242,CIK0000880242,BLGO
2440,"PAYSIGN, INC.",1496443,CIK0001496443,PAYS
2441,"ACTAVIA LIFE SCIENCES, INC.",1582249,CIK0001582249,RASP
2442,"SIGYN THERAPEUTICS, INC.",1642159,CIK0001642159,SIGY
2443,"PEREGRINE INDUSTRIES, INC.",1061164,CIK0001061164,PGID
2444,"SAWAI GROUP HOLDINGS Co., Ltd.",1816901,CIK0001816901,SWGHF
2445,WSFS FINANCIAL CORPORATION,828944,CIK0000828944,WSFS
2446,"Xponential Fitness, Inc.",1802156,CIK0001802156,XPOF
2447,"micromobility.com, Inc.",1788841,CIK0001788841,HLBZW
2448,MultiMetaVerse Holdings Ltd,0001874074,CIK0001874074,MMV
2449,"O-I GLASS, INC.",812074,CIK0000812074,OI
2450,Zenvia Inc.,0001836934,CIK0001836934,ZENV
2451,GAN Limited,1799332,CIK0001799332,GAN
2452,"THOUGHTWORKS HOLDING, INC.",1866550,CIK0001866550,TWKS
2453,Amplify Commodity Trust,1610940,CIK0001610940,BDRY
2454,"ANEBULO PHARMACEUTICALS, INC.",1815974,CIK0001815974,ANEB
2455,Baijiayun Group Ltd,1381074,CIK0001381074,FFHL
2456,"BAKHU HOLDINGS, CORP.",1440153,CIK0001440153,BKUH
2457,NORTHVIEW ACQUISITION CORP.,0001859807,CIK0001859807,NVACR
2458,,0001281926,CIK0001281926,ETO
2459,Chenghe Acquisition I Co.,0001868269,CIK0001868269,LATGW
2460,JRSIS HEALTH CARE CORPORATION.,1597892,CIK0001597892,JRSS
2461,HEALTH ADVANCE INC.,1531477,CIK0001531477,HADV
2462,"NEURONETICS, INC.",1227636,CIK0001227636,STIM
2463,CELLECTIS S.A.,1627281,CIK0001627281,CLLS
2464,"ELEVATE CREDIT, INC.",1651094,CIK0001651094,ELVT
2465,"AMPRIUS TECHNOLOGIES, INC.",0001899287,CIK0001899287,AMPX
2466,"The Marquie Group, Inc.",1434601,CIK0001434601,TMGI
2467,Redfin Corporation,1382821,CIK0001382821,RDFN
2468,Viad Corp,884219,CIK0000884219,VVI
2469,"ICONIC BRANDS, INC.",1350073,CIK0001350073,ICNB
2470,DORIAN LPG LTD.,1596993,CIK0001596993,LPG
2471,"TYME TECHNOLOGIES, INC.",1537917,CIK0001537917,TYME
2472,DESCARTES SYSTEMS GROUP INC,1050140,CIK0001050140,DSGX
2473,EXCELFIN ACQUISITION CORP.,1852749,CIK0001852749,XFINW
2474,FLEX LNG Ltd.,1772253,CIK0001772253,FLNG
2475,INBIT CORP,1657803,CIK0001657803,INBT
2476,Stratim Cloud Acquisition Corp.,1821812,CIK0001821812,SCAQW
2477,PEARL HOLDINGS ACQUISITION CORP,0001856161,CIK0001856161,PRLHW
2478,"Excellerant, Inc.",1786119,CIK0001786119,EXCL
2479,BIONOMICS LIMITED/FI,0001191070,CIK0001191070,BNOX
2480,PLEXUS CORP.,785786,CIK0000785786,PLXS
2481,"AMPLITUDE, INC.",1866692,CIK0001866692,AMPL
2482,"WALGREENS BOOTS ALLIANCE, INC.",1618921,CIK0001618921,WBA
2483,"TRxADE HEALTH, INC.",1382574,CIK0001382574,MEDS
2484,Kosmos Energy Ltd.,1509991,CIK0001509991,KOS
2485,"CURALEAF HOLDINGS, INC.",1756770,CIK0001756770,CURLF
2486,"SHORE BANCSHARES, INC.",1035092,CIK0001035092,SHBI
2487,Masonite International Corporation,893691,CIK0000893691,DOOR
2488,Osisko Development Corp.,0001431852,CIK0001431852,ODV
2489,"F-STAR THERAPEUTICS, INC.",1566373,CIK0001566373,FSTX
2490,HNR ACQUISITION CORP,0001842556,CIK0001842556,HNRA
2491,TOUCAN INTERACTIVE CORP.,1602143,CIK0001602143,TCNT
2492,"PHATHOM PHARMACEUTICALS, INC.",1783183,CIK0001783183,PHAT
2493,"PEERLOGIX, INC.",1603494,CIK0001603494,LOGX
2494,"Rover Group, Inc.",1826018,CIK0001826018,ROVR
2495,"ROGUE ONE, INC.",1058330,CIK0001058330,ROAG
2496,GUESS INC,912463,CIK0000912463,GES
2497,TG Venture Acquisition Corp.,1865191,CIK0001865191,TGVCW
2498,FIRST NATIONAL CORP /VA/,719402,CIK0000719402,FXNC
2499,AEGON NV,769218,CIK0000769218,AEFC
2500,Zhangmen Education Inc.,0001838937,CIK0001838937,ZMENY
2501,JACK CREEK INVESTMENT CORP.,1822312,CIK0001822312,JCICW
2502,"The Vita Coco Company, Inc.",1482981,CIK0001482981,COCO
2503,"HOME DEPOT, INC.",354950,CIK0000354950,HD
2504,"NEUBASE THERAPEUTICS, INC.",1173281,CIK0001173281,NBSE
2505,"SILK ROAD MEDICAL, INC.",1397702,CIK0001397702,SILK
2506,ALMADEN MINERALS LTD.,1015647,CIK0001015647,AAU
2507,"Catalent, Inc.",1596783,CIK0001596783,CTLT
2508,NUVASIVE INC,1142596,CIK0001142596,NUVA
2509,CITIZENS HOLDING CO /MS/,1075706,CIK0001075706,CIZN
2510,"XTANT MEDICAL HOLDINGS, INC.",1453593,CIK0001453593,XTNT
2511,ALLY FINANCIAL INC.,40729,CIK0000040729,ALLY
2512,BOSTON OMAHA Corp,1494582,CIK0001494582,BOC
2513,TH International Limited,0001877333,CIK0001877333,THCH
2514,PHILIP MORRIS INTERNATIONAL INC.,1413329,CIK0001413329,PM
2515,BANK OF MONTREAL,927971,CIK0000927971,OILU
2516,"NEWSTREAM ENERGY TECHNOLOGIES GROUP, INC.",1445109,CIK0001445109,CCTC
2517,"ATYR PHARMA, INC.",1339970,CIK0001339970,LIFE
2518,"South Jersey Industries, Inc.",91928,CIK0000091928,SJIV
2519,KKR & CO. INC.,1404912,CIK0001404912,KKRS
2520,XTL BIOPHARMACEUTICALS LTD.,1023549,CIK0001023549,XTLB
2521,"1LIFE HEALTHCARE, INC.",1404123,CIK0001404123,ONEM
2522,TIAN RUIXIANG HOLDINGS LTD,1782941,CIK0001782941,TIRX
2523,WESTPAC BANKING CORP,719245,CIK0000719245,WEBNF
2524,"DEXCOM, INC.",1093557,CIK0001093557,DXCM
2525,FABRINET,1408710,CIK0001408710,FN
2526,"UNITED FIRE GROUP, INC",101199,CIK0000101199,UFCS
2527,LYTUS TECHNOLOGIES HOLDINGS PTV. LTD.,0001816319,CIK0001816319,LYT
2528,"Piedmont Office Realty Trust, Inc.",1042776,CIK0001042776,PDM
2529,"Atlantic Capital Bancshares, Inc.",1461755,CIK0001461755,ACBI
2530,"TransMedics Group, Inc.",1756262,CIK0001756262,TMDX
2531,"MASON INDUSTRIAL TECHNOLOGY, INC.",1826058,CIK0001826058,MIT
2532,GLOBAL PAYMENTS INC,1123360,CIK0001123360,GPN
2533,"Basanite, Inc.",1448705,CIK0001448705,BASA
2534,"CARDIOVASCULAR SYSTEMS, INC.",1180145,CIK0001180145,CSII
2535,"GLOBAL INDEMNITY GROUP, LLC",1494904,CIK0001494904,GBLI
2536,NextPlat Corp,1058307,CIK0001058307,NXPLW
2537,"BLEND LABS, INC.",1855747,CIK0001855747,BLND
2538,TENNESSEE VALLEY AUTHORITY,1376986,CIK0001376986,TVE
2539,Taiwan Semiconductor Manufacturing Company Limited,1046179,CIK0001046179,TSM
2540,"New Relic, Inc.",1448056,CIK0001448056,NEWR
2541,"AVNET, INC.",8858,CIK0000008858,AVT
2542,Verizon Communications Inc.,732712,CIK0000732712,VZ
2543,BRIGHT HORIZONS FAMILY SOLUTIONS INC.,1437578,CIK0001437578,BFAM
2544,Bragg Gaming Group Inc.,0001867834,CIK0001867834,BRAG
2545,"CLEANTECH BIOFUELS, INC.",1411036,CIK0001411036,CLTH
2546,"Envirotech Vehicles, Inc.",1563568,CIK0001563568,EVTV
2547,THE LOVESAC COMPANY,1701758,CIK0001701758,LOVE
2548,"AGIOS PHARMACEUTICALS, INC.",1439222,CIK0001439222,AGIO
2549,"Digital Media Solutions, Inc.",1725134,CIK0001725134,DMS
2550,ATLAS CREST INVESTMENT CORP. II,1838614,CIK0001838614,ACII
2551,THE CHEESECAKE FACTORY INCORPORATED,887596,CIK0000887596,CAKE
2552,BLOOM ENERGY CORP,1664703,CIK0001664703,BE
2553,"TELEPHONE AND DATA SYSTEMS, INC.",1051512,CIK0001051512,TDS
2554,"GLUCOTRACK, INC.",1506983,CIK0001506983,GCTK
2555,"YUM! BRANDS, INC.",1041061,CIK0001041061,YUM
2556,"EQUINIX, INC.",1101239,CIK0001101239,EQIX
2557,YUENGLINGS ICE CREAM CORPORATION,1624517,CIK0001624517,ARSND
2558,Pine Island Acquisition Corp.,1822835,CIK0001822835,PIPP
2559,"Ameresco, Inc.",1488139,CIK0001488139,AMRC
2560,"Right On Brands, Inc.",1580262,CIK0001580262,RTON
2561,FTAI INFRASTRUCTURE INC.,0001899883,CIK0001899883,FIP
2562,"NETSCOUT SYSTEMS, INC.",1078075,CIK0001078075,NTCT
2563,NVIDIA CORP,1045810,CIK0001045810,NVDA
2564,"Warrior Met Coal, Inc.",1691303,CIK0001691303,HCC
2565,PLAINS ALL AMERICAN PIPELINE LP,1070423,CIK0001070423,PAA
2566,"Conformis, Inc.",1305773,CIK0001305773,CFMS
2567,"AEON Biopharma, Inc.",1837607,CIK0001837607,PMGMW
2568,CLEVELAND-CLIFFS INC.,764065,CIK0000764065,CLF
2569,ADEIA INC.,1803696,CIK0001803696,XPER
2570,AMARC RESOURCES LTD.,1175596,CIK0001175596,AXREF
2571,SEQUANS COMMUNICATIONS S.A.,1383395,CIK0001383395,SQNS
2572,Natural Health Trends Corp.,912061,CIK0000912061,NHTC
2573,CLPS Incorporation,1724542,CIK0001724542,CLPS
2574,"FLOWERS FOODS, INC",1128928,CIK0001128928,FLO
2575,"BLONDER TONGUE LABORATORIES, INC.",1000683,CIK0001000683,BDRL
2576,Graphic Packaging Holding Co,1408075,CIK0001408075,GPK
2577,"Applied Therapeutics, Inc.",1697532,CIK0001697532,APLT
2578,TELOS CORPORATION,320121,CIK0000320121,TLS
2579,"Velocity Financial, Inc.",1692376,CIK0001692376,VEL
2580,STANDEX INTERNATIONAL CORP/DE/,310354,CIK0000310354,SXI
2581,RADIAN GROUP INC,890926,CIK0000890926,RDN
2582,AGAPE ATP CORPORATION,1713210,CIK0001713210,AATP
2583,ASSET ENTITIES INC.,0001920406,CIK0001920406,ASST
2584,"ALDEYRA THERAPEUTICS, INC.",1341235,CIK0001341235,ALDX
2585,"Protara Therapeutics, Inc.",1359931,CIK0001359931,TARA
2586,"NUTRALIFE BIOSCIENCES, INC.",1563463,CIK0001563463,NLBS
2587,"IGM Biosciences, Inc.",1496323,CIK0001496323,IGMS
2588,EverCommerce Inc.,1853145,CIK0001853145,EVCM
2589,"GAP, INC",39911,CIK0000039911,GPS
2590,"AULT ALLIANCE, INC.",896493,CIK0000896493,NILE
2591,"Bit Digital, Inc.",1710350,CIK0001710350,BTBT
2592,Nokia Corp,924613,CIK0000924613,NOKBF
2593,RITE AID CORP,84129,CIK0000084129,RAD
2594,"Riley Exploration Permian, Inc.",1001614,CIK0001001614,REPX
2595,"VIRACTA THERAPEUTICS, INC.",1061027,CIK0001061027,VIRX
2596,"Sprouts Farmers Market, Inc.",1575515,CIK0001575515,SFM
2597,"ARMSTRONG WORLD INDUSTRIES, INC.",7431,CIK0000007431,AWI
2598,Neogen Corporation,711377,CIK0000711377,NEOG
2599,INFINITE ACQUISITION CORP.,0001862327,CIK0001862327,NFNT
2600,The9 LTD,1296774,CIK0001296774,NCTY
2601,"SmartStop Self Storage REIT, Inc.",1585389,CIK0001585389,STSFF
2602,,0001826135,CIK0001826135,MHHC
2603,AMERICA MOVIL SAB DE CV/,1129137,CIK0001129137,AMXVF
2604,Territorial Bancorp Inc.,1447051,CIK0001447051,TBNK
2605,Renalytix plc,1811115,CIK0001811115,RTNXF
2606,"Mammoth Energy Services, Inc.",1679268,CIK0001679268,TUSK
2607,"Hoth Therapeutics, Inc.",1711786,CIK0001711786,HOTH
2608,"INNERSCOPE HEARING TECHNOLOGIES, INC.",1609139,CIK0001609139,INND
2609,"NEW YORK COMMUNITY BANCORP, INC.",910073,CIK0000910073,NYCB
2610,"EVE HOLDING, INC.",1823652,CIK0001823652,EVEX
2611,"HUDSON GLOBAL, INC.",1210708,CIK0001210708,HSON
2612,Benessere Capital Acquisition Corp.,1828735,CIK0001828735,BENEW
2613,"SiteOne Landscape Supply, Inc.",1650729,CIK0001650729,SITE
2614,"ENLINK MIDSTREAM, LLC",1592000,CIK0001592000,ENLC
2615,AKERNA CORP.,1755953,CIK0001755953,KERNW
2616,"CarGurus, Inc.",1494259,CIK0001494259,CARG
2617,LERER HIPPEAU ACQUISITION CORP.,1841948,CIK0001841948,LHAA
2618,"MaxLinear, Inc.",1288469,CIK0001288469,MXL
2619,"OUTDOOR SPECIALTY PRODUCTS, INC.",0001610718,CIK0001610718,ODRS
2620,"DigitalBridge Group, Inc.",1679688,CIK0001679688,DBRG
2621,"Immunome, Inc",1472012,CIK0001472012,IMNM
2622,"ALICO, INC.",3545,CIK0000003545,ALCO
2623,WILLIAMS ROWLAND ACQUISITION CORP.,1855168,CIK0001855168,WRAC
2624,"CHINA WUYI MOUNTAIN, LTD.",1687065,CIK0001687065,WUYI
2625,"Newpark Resources, Inc.",71829,CIK0000071829,NR
2626,"Progyny, Inc.",1551306,CIK0001551306,PGNY
2627,"RESOURCES CONNECTION, INC.",1084765,CIK0001084765,RGP
2628,ABG Acquisition Corp. I,1833764,CIK0001833764,ABGI
2629,Wolverine Resources Corp.,1424404,CIK0001424404,WOLVD
2630,ReWalk Robotics Ltd.,1607962,CIK0001607962,RWLK
2631,CYTODYN INC.,1175680,CIK0001175680,CYDY
2632,"KwikClick, Inc.",0001884164,CIK0001884164,KWIK
2633,"Spectrum Brands Holdings, Inc.",109177,CIK0000109177,SPB
2634,Meritage Homes Corporation,833079,CIK0000833079,MTH
2635,"EYENOVIA, INC.",1682639,CIK0001682639,EYEN
2636,"Cell Source, Inc.",1569340,CIK0001569340,CLCS
2637,UTime Limited,1789299,CIK0001789299,UTME
2638,THE ALKALINE WATER COMPANY INC.,1532390,CIK0001532390,WTER
2639,VICTORIA'S SECRET & CO.,1856437,CIK0001856437,VSCO
2640,ZIMMER ENERGY TRANSITION ACQUISITION CORP.,1849408,CIK0001849408,ZTAQW
2641,MOTORCAR PARTS OF AMERICA INC,918251,CIK0000918251,MPAA
2642,Perfect Corp.,0001899830,CIK0001899830,PERF
2643,IMMURON LIMITED,1660046,CIK0001660046,IMRNW
2644,WEX INC.,1309108,CIK0001309108,WEX
2645,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK,1001807,CIK0001001807,TLK
2646,DOUGLAS ELLIMAN INC.,0001878897,CIK0001878897,DOUG
2647,,0001296250,CIK0001296250,PFN
2648,MSCI INC.,1408198,CIK0001408198,MSCI
2649,OCA ACQUISITION CORP.,1820175,CIK0001820175,OCAXW
2650,"SONIC AUTOMOTIVE, INC.",1043509,CIK0001043509,SAH
2651,"HELMERICH & PAYNE, INC.",46765,CIK0000046765,HP
2652,180 LIFE SCIENCES CORP,1690080,CIK0001690080,ATNFW
2653,"Natural Grocers by Vitamin Cottage, Inc.",1547459,CIK0001547459,NGVC
2654,QUANTRX BIOMEDICAL CORPORATION,820608,CIK0000820608,QTXB
2655,NEXA RESOURCES S.A,1713930,CIK0001713930,NEXA
2656,"BARK, INC.",1819574,CIK0001819574,BARK
2657,"Novan, Inc.",1467154,CIK0001467154,NOVN
2658,HH&L Acquisition Co.,1824185,CIK0001824185,HHLA
2659,"SecureTech Innovations, Inc.",1703157,CIK0001703157,SCTH
2660,"SITO MOBILE, LTD.",1157817,CIK0001157817,SITOQ
2661,MARIMED INC.,1522767,CIK0001522767,MRMD
2662,Investcorp Europe Acquisition Corp I,0001857410,CIK0001857410,IVCBU
2663,Nu Holdings Ltd.,0001691493,CIK0001691493,NU
2664,SOPHiA GENETICS SA,0001840706,CIK0001840706,SOPH
2665,"FREIGHTCAR AMERICA, INC.",1320854,CIK0001320854,RAIL
2666,TenX Keane Acquisition,0001851484,CIK0001851484,TENK
2667,KL Acquisition Corp,1823323,CIK0001823323,KLAQW
2668,"COMMERCIAL VEHICLE GROUP, INC.",1290900,CIK0001290900,CVGI
2669,CUMMINS INC.,26172,CIK0000026172,CMI
2670,"GRAND CANYON EDUCATION, INC.",1434588,CIK0001434588,LOPE
2671,"ALASKA AIR GROUP, INC.",766421,CIK0000766421,ALK
2672,"REBEL GROUP, INC.",1532158,CIK0001532158,REBL
2673,INTERFACE INC,715787,CIK0000715787,TILE
2674,"WILHELMINA INTERNATIONAL, INC.",1013706,CIK0001013706,WHLM
2675,"EHAVE, INC",1653606,CIK0001653606,EHVVF
2676,VIZIO HOLDING CORP.,1835591,CIK0001835591,VZIO
2677,Barclays PLC,312069,CIK0000312069,BCLYF
2678,"Oncotelic Therapeutics, Inc.",908259,CIK0000908259,OTLC
2679,"ALLENA PHARMACEUTICALS, INC.",1624658,CIK0001624658,ALNA
2680,"AMERISAFE, INC.",1018979,CIK0001018979,AMSF
2681,"THE CHILDREN’S PLACE, INC.",1041859,CIK0001041859,PLCE
2682,ASIAFIN HOLDINGS CORP.,1828748,CIK0001828748,ASFH
2683,Portman Ridge Finance Corporation,0001372807,CIK0001372807,PTMN
2684,"MEDAVAIL HOLDINGS, INC.",1402479,CIK0001402479,MDVL
2685,KEYARCH ACQUISITION CORPORATION,0001865701,CIK0001865701,KYCHW
2686,"Esperion Therapeutics, Inc.",1434868,CIK0001434868,ESPR
2687,PRUDENTIAL PLC,1116578,CIK0001116578,PUKPF
2688,Kirby Corporation,56047,CIK0000056047,KEX
2689,"BROOKLINE BANCORP, INC",1049782,CIK0001049782,BRKL
2690,,0001855066,CIK0001855066,MEGI
2691,"ADAMS RESOURCES & ENERGY, INC.",2178,CIK0000002178,AE
2692,Jianpu Technology Inc.,1713923,CIK0001713923,JT
2693,SVF INVESTMENT CORP.,1828478,CIK0001828478,SVFAW
2694,AZEK Co Inc.,1782754,CIK0001782754,AZEK
2695,Invesco CurrencyShares Japanese Yen Trust,1353613,CIK0001353613,FXY
2696,"Strategic Environmental & Energy Resources, Inc.",1576197,CIK0001576197,SENR
2697,ALTC ACQUISITION CORP.,1849056,CIK0001849056,ALCC
2698,F45 Training Holdings Inc.,1788717,CIK0001788717,FXLV
2699,AIMFINITY INVESTMENT CORP. I,0001903464,CIK0001903464,AIMBU
2700,"Qualigen Therapeutics, Inc.",1460702,CIK0001460702,QLGN
2701,Graphex Group Limited,0001816723,CIK0001816723,GRFXF
2702,HAMMER FIBER OPTICS HOLDINGS CORP,1539680,CIK0001539680,HMMR
2703,OppFi Inc.,1818502,CIK0001818502,OPFI
2704,INTERPRIVATE IV INFRATECH PARTNERS INC.,1839611,CIK0001839611,IPVIW
2705,"Allegiance Bancshares, Inc.",1642081,CIK0001642081,ABTX
2706,"Sunrise New Energy Co., Ltd.",1780731,CIK0001780731,EPOW
2707,"WILLIAMS-SONOMA, INC.",719955,CIK0000719955,WSM
2708,DAVIDsTEA Inc.,1627606,CIK0001627606,DTEA
2709,GREENPOWER MOTOR COMPANY INC.,1584547,CIK0001584547,GP
2710,CVB FINANCIAL CORP.,354647,CIK0000354647,CVBF
2711,BROAD CAPITAL ACQUISITION CORP,0001865120,CIK0001865120,BRACU
2712,"TRINET GROUP, INC",937098,CIK0000937098,TNET
2713,Eni SpA,1002242,CIK0001002242,EIPAF
2714,INDOOR HARVEST CORP,1572565,CIK0001572565,INQD
2715,"PPG INDUSTRIES, INC.",79879,CIK0000079879,PPG
2716,SMX (SECURITY MATTERS) PUBLIC LIMITED COMPANY,0001940674,CIK0001940674,SMX
2717,"GLASSBRIDGE ENTERPRISES, INC.",1014111,CIK0001014111,GLAE
2718,"STARRY GROUP HOLDINGS, INC.",0001884697,CIK0001884697,STRY
2719,"Puhui Wealth Investment Management Co., Ltd.",1729089,CIK0001729089,PHCF
2720,TEXAS MINERAL RESOURCES CORP.,1445942,CIK0001445942,TMRC
2721,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",1383312,CIK0001383312,BR
2722,"Montrose Environmental Group, Inc.",1643615,CIK0001643615,MEG
2723,"NOBLE ROMAN’S, INC.",709005,CIK0000709005,NROM
2724,"ECO INNOVATION GROUP, INC.",1144169,CIK0001144169,ECOX
2725,Similarweb Ltd.,0001842731,CIK0001842731,SMWB
2726,"Dorman Products, Inc.",868780,CIK0000868780,DORM
2727,SDCL EDGE Acquisition Corporation,1846975,CIK0001846975,SEDA
2728,"FIGS, Inc.",1846576,CIK0001846576,FIGS
2729,SHARING SERVICES GLOBAL CORPORATION,1644488,CIK0001644488,SHRG
2730,OMNICOM GROUP INC.,29989,CIK0000029989,OMC
2731,China Life Insurance Company Limited,1268896,CIK0001268896,LFCHY
2732,Sphere 3D Corp.,1591956,CIK0001591956,ANY
2733,MULIANG VIAGOO TECHNOLOGY INC.,1629665,CIK0001629665,MULG
2734,"PRINCIPAL FINANCIAL GROUP, INC",1126328,CIK0001126328,PFG
2735,L Catterton Asia Acquisition Corp,1841024,CIK0001841024,LCAAW
2736,"South Plains Financial, Inc.",1163668,CIK0001163668,SPFI
2737,CONSUMERS BANCORP INC /OH/,1006830,CIK0001006830,CBKM
2738,DIAGEO plc,835403,CIK0000835403,DGEAF
2739,"Vivos Therapeutics, Inc.",1716166,CIK0001716166,VVOS
2740,"MIND TECHNOLOGY, INC",926423,CIK0000926423,MINDP
2741,iSpecimen Inc.,1558569,CIK0001558569,ISPC
2742,Spindletop Health Acquisition Corp.,0001848558,CIK0001848558,SHCAW
2743,Sipup Corp,1563227,CIK0001563227,SPUP
2744,,0001793855,CIK0001793855,ASGI
2745,"Global Ship Lease, Inc.",1430725,CIK0001430725,GSL
2746,PACWEST BANCORP,1102112,CIK0001102112,PACWP
2747,Rand Capital Corporation,0000081955,CIK0000081955,RAND
2748,ALR TECHNOLOGIES INC.,1087022,CIK0001087022,ALRT
2749,WETRADE GROUP INC,1784970,CIK0001784970,WETG
2750,"VYCOR MEDICAL, INC.",1424768,CIK0001424768,VYCO
2751,AXELEREX CORP.,1724001,CIK0001724001,BSEC
2752,ECCO AUTO WORLD CORPORATION,1686515,CIK0001686515,EAWC
2753,"Floor & Decor Holdings, Inc.",1507079,CIK0001507079,FND
2754,QUALTEK SERVICES INC.,1839412,CIK0001839412,QTEKW
2755,Opera Ltd,1737450,CIK0001737450,OPRA
