,industry,industry_Disp,indistry_map_dic,sector,sectorKey,sectorDisp
BZ,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
REXR,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
CFR,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AQN,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
HTZ,Rental & Leasing Services,Rental & Leasing Services,rental-leasing-services,Industrials,industrials,Industrials
VIVHY,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
LNC,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
BWA,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AIZ,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
MANH,Software - Application,Software - Application,software-application,Technology,technology,Technology
WHR,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
LU,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
KEP,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
RGA,Insurance - Reinsurance,Insurance - Reinsurance,insurance-reinsurance,Financial Services,financial-services,Financial Services
DXCM,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
ARCC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
DSCSY,Semiconductor Equipment & Materials,Semiconductor Equipment & Materials,semiconductor-equipment-materials,Technology,technology,Technology
SNX,Electronics & Computer Distribution,Electronics & Computer Distribution,electronics-computer-distribution,Technology,technology,Technology
PAA,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
ESLT,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
GTLB,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
RHI,Staffing & Employment Services,Staffing & Employment Services,staffing-employment-services,Industrials,industrials,Industrials
WFG,Lumber & Wood Production,Lumber & Wood Production,lumber-wood-production,Basic Materials,basic-materials,Basic Materials
GLPEY,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
RDY,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
MASI,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
CBSH,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
REMYY,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
JBL,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
FLEX,Electronic Components,Electronic Components,electronic-components,Technology,technology,Technology
G,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
FND,Home Improvement Retail,Home Improvement Retail,home-improvement-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AOS,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
PRYMY,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
OC,Building Products & Equipment,Building Products & Equipment,building-products-equipment,Industrials,industrials,Industrials
SLVYY,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
ALLE,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
JLL,Real Estate Services,Real Estate Services,real-estate-services,Real Estate,real-estate,Real Estate
TME,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
DBX,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
PNW,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
PSTG,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
UNM,Insurance - Life,Insurance - Life,insurance-life,Financial Services,financial-services,Financial Services
FTNT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ADOOY,Thermal Coal,Thermal Coal,thermal-coal,Energy,energy,Energy
BRKR,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
PAG,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KKOYY,Grocery Stores,Grocery Stores,grocery-stores,Consumer Defensive,consumer-defensive,Consumer Defensive
FCNCA,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AXON,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
LEA,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
JEF,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
OGE,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
LOGI,Computer Hardware,Computer Hardware,computer-hardware,Technology,technology,Technology
MPW,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
RRC,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
LECO,Tools & Accessories,Tools & Accessories,tools-accessories,Industrials,industrials,Industrials
AA,Aluminum,Aluminum,aluminum,Basic Materials,basic-materials,Basic Materials
KNX,Trucking,Trucking,trucking,Industrials,industrials,Industrials
GRFS,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
AGCO,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
PATH,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CASY,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
UELMO,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
UHS,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
OTEX,Software - Application,Software - Application,software-application,Technology,technology,Technology
MIDD,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
HRB,Personal Services,Personal Services,personal-services,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
DLO,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
NXST,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
UGI,Utilities - Regulated Gas,Utilities - Regulated Gas,utilities-regulated-gas,Utilities,utilities,Utilities
ASEKY,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CMS-PB,Utilities - Regulated Electric,Utilities - Regulated Electric,utilities-regulated-electric,Utilities,utilities,Utilities
PSO,Publishing,Publishing,publishing,Communication Services,communication-services,Communication Services
DKNG,Gambling,Gambling,gambling,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
TIXT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
ESTC,Software - Application,Software - Application,software-application,Technology,technology,Technology
FRT,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
OLN,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
SWN,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
SKM,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
MAT,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
RUN,Solar,Solar,solar,Technology,technology,Technology
NNN,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
CHDN,Gambling,Gambling,gambling,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SEIC,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
WAL,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
FIVE,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CLF,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
YMM,Software - Application,Software - Application,software-application,Technology,technology,Technology
OLPX,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CELH,Beverages - Non-Alcoholic,Beverages - Non - Alcoholic,beverages-non-alcoholic,Consumer Defensive,consumer-defensive,Consumer Defensive
GTLS,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
PFGC,Food Distribution,Food Distribution,food-distribution,Consumer Defensive,consumer-defensive,Consumer Defensive
MIUFY,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
PEN,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
IVZ,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
COLD,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
WYNN,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ACHC,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
SEE,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PCOR,Software - Application,Software - Application,software-application,Technology,technology,Technology
CLVT,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
ALSMY,Railroads,Railroads,railroads,Industrials,industrials,Industrials
GGB,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
PAC,Airports & Air Services,Airports & Air Services,airports-air-services,Industrials,industrials,Industrials
S,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CGNX,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
CHE,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
DLB,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
LAD,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BSAC,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
JPXGY,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
MDIBY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
OGN,Drug Manufacturers - General,Drug Manufacturers - General,drug-manufacturers-general,Healthcare,healthcare,Healthcare
BERY,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
OHI,REIT - Healthcare Facilities,REIT - Healthcare Facilities,reit-healthcare-facilities,Real Estate,real-estate,Real Estate
AN,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MTLHY,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
RBA,Specialty Business Services,Specialty Business Services,specialty-business-services,Industrials,industrials,Industrials
MUSA,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
PNR,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
XRAY,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
CACC,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
TTEK,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
VIPS,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ELAN,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
NWL,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
STWD,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
VOYA,Financial Conglomerates,Financial Conglomerates,financial-conglomerates,Financial Services,financial-services,Financial Services
EXAS,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
CFLT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
LEVI,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
RNR,Insurance - Reinsurance,Insurance - Reinsurance,insurance-reinsurance,Financial Services,financial-services,Financial Services
GPK,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BEPC,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
BILI,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia,Communication Services,communication-services,Communication Services
KBR,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
LSCC,Semiconductors,Semiconductors,semiconductors,Technology,technology,Technology
ARW,Electronics & Computer Distribution,Electronics & Computer Distribution,electronics-computer-distribution,Technology,technology,Technology
CPRI,Luxury Goods,Luxury Goods,luxury-goods,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
RKUNY,Internet Retail,Internet Retail,internet-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
DXC,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
ATR,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
ISDAY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
NEP,Utilities - Renewable,Utilities - Renewable,utilities-renewable,Utilities,utilities,Utilities
MTDR,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
NOV,Oil & Gas Equipment & Services,Oil & Gas Equipment & Services,oil-gas-equipment-services,Energy,energy,Energy
RL,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
MHK,"Furnishings, Fixtures & Appliances","Furnishings, Fixtures & Appliances",furnishings-fixtures-appliances,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ADT,Security & Protection Services,Security & Protection Services,security-protection-services,Industrials,industrials,Industrials
GFI,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
YNDX,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
ORI,Insurance - Diversified,Insurance - Diversified,insurance-diversified,Financial Services,financial-services,Financial Services
AFRM,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
CIB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
PII,Recreational Vehicles,Recreational Vehicles,recreational-vehicles,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
IONS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
WCC,Industrial Distribution,Industrial Distribution,industrial-distribution,Industrials,industrials,Industrials
USFD,Food Distribution,Food Distribution,food-distribution,Consumer Defensive,consumer-defensive,Consumer Defensive
LEGN,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
FR,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
CRCBY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
WEX,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
PB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MSSMY,Tools & Accessories,Tools & Accessories,tools-accessories,Industrials,industrials,Industrials
CVNA,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
OUKPY,Farm & Heavy Construction Machinery,Farm & Heavy Construction Machinery,farm-heavy-construction-machinery,Industrials,industrials,Industrials
CLH,Waste Management,Waste Management,waste-management,Industrials,industrials,Industrials
EDR,Entertainment,Entertainment,entertainment,Communication Services,communication-services,Communication Services
ACCYY,Lodging,Lodging,lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CHH,Lodging,Lodging,lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CIEN,Communication Equipment,Communication Equipment,communication-equipment,Technology,technology,Technology
ASR,Airports & Air Services,Airports & Air Services,airports-air-services,Industrials,industrials,Industrials
DSEEY,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
FUTU,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
EGP,REIT - Industrial,REIT - Industrial,reit-industrial,Real Estate,real-estate,Real Estate
ALV,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
NFG,Oil & Gas Integrated,Oil & Gas Integrated,oil-gas-integrated,Energy,energy,Energy
NCLH,Travel Services,Travel Services,travel-services,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CACI,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
CABO,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
AIRC,REIT - Residential,REIT - Residential,reit-residential,Real Estate,real-estate,Real Estate
ST,Scientific & Technical Instruments,Scientific & Technical Instruments,scientific-technical-instruments,Technology,technology,Technology
IOT,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
THC,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
PNFP,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DCI,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
CHPT,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BPOP,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
SBS,Utilities - Regulated Water,Utilities - Regulated Water,utilities-regulated-water,Utilities,utilities,Utilities
CSAN,Oil & Gas Refining & Marketing,Oil & Gas Refining & Marketing,oil-gas-refining-marketing,Energy,energy,Energy
EME,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
HOG,Recreational Vehicles,Recreational Vehicles,recreational-vehicles,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
COTY,Household & Personal Products,Household & Personal Products,household-personal-products,Consumer Defensive,consumer-defensive,Consumer Defensive
SBSW,Other Precious Metals & Mining,Other Precious Metals & Mining,other-precious-metals-mining,Basic Materials,basic-materials,Basic Materials
BOKF,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
DNB,Financial Data & Stock Exchanges,Financial Data & Stock Exchanges,financial-data-stock-exchanges,Financial Services,financial-services,Financial Services
CNXC,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
APLS,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
WH,Lodging,Lodging,lodging,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
TXRH,Restaurants,Restaurants,restaurants,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BRX,REIT - Retail,REIT - Retail,reit-retail,Real Estate,real-estate,Real Estate
SF,Capital Markets,Capital Markets,capital-markets,Financial Services,financial-services,Financial Services
MUR,Oil & Gas E&P,Oil & Gas E&P,oil-gas-e-p,Energy,energy,Energy
PPC,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
GMED,Medical Devices,Medical Devices,medical-devices,Healthcare,healthcare,Healthcare
ASND,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
GNTX,Auto Parts,Auto Parts,auto-parts,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ITT,Specialty Industrial Machinery,Specialty Industrial Machinery,specialty-industrial-machinery,Industrials,industrials,Industrials
VAC,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
GIL,Apparel Manufacturing,Apparel Manufacturing,apparel-manufacturing,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
SON,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
UWMC,Mortgage Finance,Mortgage Finance,mortgage-finance,Financial Services,financial-services,Financial Services
MNDY,Software - Application,Software - Application,software-application,Technology,technology,Technology
DOCS,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
MTZ,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
FFIN,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
CYBR,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
HQY,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
FYBR,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
PHI,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
MDU,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
BYD,Resorts & Casinos,Resorts & Casinos,resorts-casinos,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
RCM,Health Information Services,Health Information Services,health-information-services,Healthcare,healthcare,Healthcare
WF,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
QLYS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
RGLD,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
KT,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
GH,Diagnostics & Research,Diagnostics & Research,diagnostics-research,Healthcare,healthcare,Healthcare
WWD,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
HALO,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
IRDM,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
INFA,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
AGNC,REIT - Mortgage,REIT - Mortgage,reit-mortgage,Real Estate,real-estate,Real Estate
SNV,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
FSK,Asset Management,Asset Management,asset-management,Financial Services,financial-services,Financial Services
VMI,Conglomerates,Conglomerates,conglomerates,Industrials,industrials,Industrials
DSGX,Software - Application,Software - Application,software-application,Technology,technology,Technology
FIVN,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
REYN,Packaging & Containers,Packaging & Containers,packaging-containers,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
ALK,Airlines,Airlines,airlines,Industrials,industrials,Industrials
KRC,REIT - Office,REIT - Office,reit-office,Real Estate,real-estate,Real Estate
LYFT,Software - Application,Software - Application,software-application,Technology,technology,Technology
DOOO,Recreational Vehicles,Recreational Vehicles,recreational-vehicles,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
OPCH,Medical Care Facilities,Medical Care Facilities,medical-care-facilities,Healthcare,healthcare,Healthcare
HUN,Chemicals,Chemicals,chemicals,Basic Materials,basic-materials,Basic Materials
CW,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
NVST,Medical Instruments & Supplies,Medical Instruments & Supplies,medical-instruments-supplies,Healthcare,healthcare,Healthcare
ONON,Footwear & Accessories,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
CRSP,Biotechnology,Biotechnology,biotechnology,Healthcare,healthcare,Healthcare
SNDL,Beverages - Wineries & Distilleries,Beverages - Wineries & Distilleries,beverages-wineries-distilleries,Consumer Defensive,consumer-defensive,Consumer Defensive
SSB,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
MP,Other Industrial Metals & Mining,Other Industrial Metals & Mining,other-industrial-metals-mining,Basic Materials,basic-materials,Basic Materials
EXLS,Information Technology Services,Information Technology Services,information-technology-services,Technology,technology,Technology
AXTA,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
NVT,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
XPO,Trucking,Trucking,trucking,Industrials,industrials,Industrials
PLNT,Leisure,Leisure,leisure,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
GBCI,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
TIMB,Telecom Services,Telecom Services,telecom-services,Communication Services,communication-services,Communication Services
ASH,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
SKX,Footwear & Accessories,Footwear & Accessories,footwear-accessories,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
HCP,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
LNTH,Drug Manufacturers - Specialty & Generic,Drug Manufacturers - Specialty & Generic,drug-manufacturers-specialty-generic,Healthcare,healthcare,Healthcare
BC,Recreational Vehicles,Recreational Vehicles,recreational-vehicles,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
BLD,Engineering & Construction,Engineering & Construction,engineering-construction,Industrials,industrials,Industrials
TX,Steel,Steel,steel,Basic Materials,basic-materials,Basic Materials
WU,Credit Services,Credit Services,credit-services,Financial Services,financial-services,Financial Services
IAC,Internet Content & Information,Internet Content & Information,internet-content-information,Communication Services,communication-services,Communication Services
CCCS,Software - Infrastructure,Software - Infrastructure,software-infrastructure,Technology,technology,Technology
DDS,Department Stores,Department Stores,department-stores,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
AYI,Electrical Equipment & Parts,Electrical Equipment & Parts,electrical-equipment-parts,Industrials,industrials,Industrials
FAF,Insurance - Specialty,Insurance - Specialty,insurance-specialty,Financial Services,financial-services,Financial Services
DTM,Oil & Gas Midstream,Oil & Gas Midstream,oil-gas-midstream,Energy,energy,Energy
CAE,Aerospace & Defense,Aerospace & Defense,aerospace-defense,Industrials,industrials,Industrials
RH,Specialty Retail,Specialty Retail,specialty-retail,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
KNSL,Insurance - Property & Casualty,Insurance - Property & Casualty,insurance-property-casualty,Financial Services,financial-services,Financial Services
LSTR,Integrated Freight & Logistics,Integrated Freight & Logistics,integrated-freight-logistics,Industrials,industrials,Industrials
PYCR,Software - Application,Software - Application,software-application,Technology,technology,Technology
DRVN,Auto & Truck Dealerships,Auto & Truck Dealerships,auto-truck-dealerships,Consumer Cyclical,consumer-cyclical,Consumer Cyclical
INGR,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
CC,Specialty Chemicals,Specialty Chemicals,specialty-chemicals,Basic Materials,basic-materials,Basic Materials
TMBBY,Banks - Regional,Banks - Regional,banks-regional,Financial Services,financial-services,Financial Services
AU,Gold,Gold,gold,Basic Materials,basic-materials,Basic Materials
CCOEY,Electronic Gaming & Multimedia,Electronic Gaming & Multimedia,electronic-gaming-multimedia,Communication Services,communication-services,Communication Services
FLO,Packaged Foods,Packaged Foods,packaged-foods,Consumer Defensive,consumer-defensive,Consumer Defensive
GWRE,Software - Application,Software - Application,software-application,Technology,technology,Technology
